,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Blaze Russell,WR,18,48,74,0.303,0.972,0.514,0.673,0.519,0.624,0.839,0.842,0.926,Michigan,,,,,,,,,#N/A,,Blaze Russell-Michigan-2060
17,Derrell Hall,WR,18,48,74,0.249,0.313,0.975,0.151,0.357,0.397,0.721,0.341,0.761,California,,,Playing Time: Would prefer to play for a less successful team if it means being of greater significance to the team.,,,,,,#N/A,,Derrell Hall-California-2060
18,Habanero Peppers,DL,18,44,76,0.639,0.268,0.669,0.788,0.366,0.618,0.608,0.366,0.501,North Carolina,North Carolina,,,,,,,,#N/A,,Habanero Peppers-North Carolina-2060
19,John Kennedy,DL,18,44,73,0.710,0.278,0.150,0.338,0.568,0.565,0.355,0.225,0.512,Florida,,,,,,,,,#N/A,,John Kennedy-Florida-2060
20,Reggie Stengel,LB,18,41,67,0.239,0.255,0.879,0.554,0.670,0.656,0.352,0.752,0.855,Texas,,,,,,,,,#N/A,,Reggie Stengel-Texas-2060
21,David Edwards,RB,18,44,72,0.429,0.973,0.156,0.894,0.523,0.479,0.307,0.490,0.619,Ohio,,,Winning: Would prefer to play for a team coming off at least 3 consecutive winning seasons.,,,,,,#N/A,,David Edwards-Ohio-2060
22,Gerrod Shabazz,S,18,41,66,0.216,0.738,0.089,0.993,0.870,0.121,0.573,0.122,0.972,Louisiana,,,,,,,,,#N/A,,Gerrod Shabazz-Louisiana-2060
23,Quentin Coston,QB,18,46,77,0.616,0.586,0.060,0.697,0.902,0.097,0.255,0.975,0.786,Tennessee,,,Campus: Wants to know about concert venues near campus,,,,,,#N/A,,Quentin Coston-Tennessee-2060
24,Shawn Enis,RB,18,44,72,0.299,0.303,0.458,0.656,0.378,0.715,0.580,0.856,0.431,Utah,,,,,,,,,#N/A,,Shawn Enis-Utah-2060
25,Jordan Woods,RB,18,44,70,0.934,0.299,0.210,0.595,0.262,0.123,0.563,0.007,0.288,Michigan,,,Location: Wants to play alongside other players from his home state,,,,,,#N/A,,Jordan Woods-Michigan-2060
26,Brandan Daley,S,18,41,67,0.359,0.246,0.879,0.642,0.288,0.266,0.064,0.005,0.917,Pennsylvania,,,Tradition: Wants to hear about your school's fan support,,,,,,#N/A,,Brandan Daley-Pennsylvania-2060
27,Edmund Travis,S,18,41,68,0.666,0.024,0.263,0.583,0.647,0.361,0.730,0.110,0.361,California,,,,,,,,,#N/A,,Edmund Travis-California-2060
28,Marquis Young,RB,18,44,71,0.496,0.526,0.580,0.898,0.027,0.767,0.011,0.619,0.690,California,,,,,,,,,#N/A,,Marquis Young-California-2060
29,Cole Cole,OL,18,42,72,0.484,0.619,0.061,0.642,0.781,0.149,0.569,0.229,0.349,Oregon,,,,,,,,,#N/A,,Cole Cole-Oregon-2060
30,William Osetkowski,DL,18,43,71,0.556,0.589,0.370,0.162,0.421,0.111,0.967,0.100,0.433,Florida,,,Education: Wants to major in English,,,,,,#N/A,,William Osetkowski-Florida-2060
31,A.J. Covey,DL,18,43,74,0.250,0.663,0.151,0.436,0.669,0.448,0.713,0.555,0.570,Michigan,,Rice,,,,,,,#N/A,,A.J. Covey-Michigan-2060
32,Nathaniel Bartels,RB,18,43,68,0.320,0.341,0.872,0.797,0.257,0.287,0.234,0.893,0.870,California,,,,,,,,,#N/A,,Nathaniel Bartels-California-2060
33,Terrance Slayton,QB,18,45,76,0.880,0.017,0.319,0.351,0.870,0.904,0.174,0.005,0.439,Louisiana,,,,,,,,,#N/A,,Terrance Slayton-Louisiana-2060
34,Jordan Fong,S,18,40,65,0.686,0.142,0.505,0.202,0.783,0.315,0.292,0.988,0.825,New York,,,Campus: Would prefer to attend a school with a dry climate,,,,,,#N/A,,Jordan Fong-New York-2060
35,Yao Sanogo,DL,18,42,72,0.666,0.695,0.309,0.417,0.966,0.270,0.836,0.848,0.815,Côte d’Ivoire,,,ProPotential: Is a fan of the Bears,,,,,,#N/A,,Yao Sanogo-Côte d’Ivoire-2060
36,T.J. Moore,LB,18,39,61,0.802,0.176,0.740,0.879,0.824,0.266,0.169,0.192,0.453,Arizona,,,,,,,,,#N/A,,T.J. Moore-Arizona-2060
37,Hassan Fenner,LB,18,39,64,0.991,0.384,0.299,0.481,0.172,0.678,0.837,0.672,0.279,Tennessee,,,Location: Wants to play as many games in his home state as possible.,,,,,,#N/A,,Hassan Fenner-Tennessee-2060
38,Andrew Flores,LB,18,39,62,0.824,0.313,0.655,0.417,0.679,0.799,0.321,0.528,0.397,Texas,,,,,,,,,#N/A,,Andrew Flores-Texas-2060
39,O.J. Mead,LB,18,39,61,0.792,0.180,0.008,0.629,0.061,0.140,0.248,0.384,0.074,New Jersey,,,,,,,,,#N/A,,O.J. Mead-New Jersey-2060
40,Taron O'Connor,RB,18,42,69,0.226,0.894,0.007,0.030,0.490,0.677,0.756,0.744,0.837,Georgia,,,,,,,,,#N/A,,Taron O'Connor-Georgia-2060
41,Dale Sprague,WR,18,45,71,0.806,0.998,0.447,0.799,0.403,0.942,0.760,0.414,0.342,Georgia,,,Winning: Wants to experience at least one season with double-digit wins.,,,,,,#N/A,,Dale Sprague-Georgia-2060
42,Hershey Brown,CB,18,47,71,0.258,0.129,0.222,0.241,0.133,0.104,0.060,0.952,0.271,Indiana,,,Campus: Wants to go to college in a smaller town,,,,,,#N/A,,Hershey Brown-Indiana-2060
43,Matt Jones,CB,18,47,71,0.922,0.826,0.635,0.506,0.067,0.169,0.693,0.902,0.457,Illinois,,,Location: Wants to attend a flagship university,,,,,,#N/A,,Matt Jones-Illinois-2060
44,Jesse Cloy,TE,18,36,62,0.475,0.866,0.972,0.270,0.363,0.947,0.882,0.173,0.438,Vermont,,,Playing Time: Wants to put up big stats.,,,,,,#N/A,,Jesse Cloy-Vermont-2060
45,Anthony Haywood,S,18,39,67,0.113,0.504,0.490,0.363,0.254,0.006,0.563,0.016,0.386,Texas,Harvard,,,,,,,,#N/A,,Anthony Haywood-Texas-2060
46,Alphonso Draper,S,18,39,65,0.402,0.733,0.503,0.565,1.000,0.495,0.530,0.738,0.778,Michigan,,,ProPotential: Wants to play for a school that has produced a lot of pros at his position.,,,,,,#N/A,,Alphonso Draper-Michigan-2060
47,Anthony Gibbs,OL,18,40,65,0.481,0.535,0.019,0.236,0.520,0.766,0.201,0.504,0.017,Alabama,,,,,,,,,#N/A,,Anthony Gibbs-Alabama-2060
48,Austin Smith,OL,18,40,67,0.378,0.492,0.044,0.196,0.752,0.213,0.062,0.525,0.054,Florida,,,,,,,,,#N/A,,Austin Smith-Florida-2060
49,David Savoy,OL,18,40,69,0.070,0.258,0.730,0.338,0.522,0.124,0.468,0.038,0.939,Illinois,,,Tradition: Wants to hear about your school's unique traditions,,,,,,#N/A,,David Savoy-Illinois-2060
50,Phillip McCoy,WR,18,44,69,0.830,0.273,0.214,0.915,0.031,0.671,0.720,0.964,0.243,Florida,,,Campus: Wants to know about concert venues near campus,,,,,,#N/A,,Phillip McCoy-Florida-2060
51,Jarod Wilburn,WR,18,44,72,0.931,0.391,0.426,0.823,0.211,0.249,0.615,0.556,0.804,California,,,Location: Wants to play alongside other players from his home state,,,,,,#N/A,,Jarod Wilburn-California-2060
52,Roger Saunders,WR,18,44,71,0.549,0.120,0.275,0.146,0.087,0.830,0.406,0.232,0.137,"Nova Scotia, Canada",,,,,,,,,#N/A,,"Roger Saunders-Nova Scotia, Canada-2060"
53,Iman Crawford,WR,18,44,72,0.653,0.948,0.564,0.641,0.829,0.361,0.215,0.751,0.744,Louisiana,,,,,,,,,#N/A,,Iman Crawford-Louisiana-2060
54,DeSean Torres,LB,18,38,59,0.620,0.438,0.749,0.867,0.416,0.776,0.004,0.649,0.572,California,,,,,,,,,#N/A,,DeSean Torres-California-2060
55,Wallace Kerr,S,18,38,62,0.293,0.898,0.737,0.820,0.008,0.597,0.030,0.593,0.445,New Jersey,,,,,,,,,#N/A,,Wallace Kerr-New Jersey-2060
56,Ryan Humes,CB,18,46,69,0.092,0.901,0.562,0.922,0.706,0.829,0.701,0.527,0.210,Florida,,,Coach: Would like to see the coach sign an extension during his time at the school,,,,,,#N/A,,Ryan Humes-Florida-2060
57,Maurice Loy,S,18,38,65,0.731,0.054,0.489,0.404,0.131,0.549,0.677,0.727,0.134,Maryland,,,,,,,,,#N/A,,Maurice Loy-Maryland-2060
58,Michelle Hunter,DL,18,40,67,0.299,0.666,0.725,0.186,0.326,0.328,0.697,0.860,0.906,Texas,LSU,,Tradition: Wants to play in important rivalry games,,,,,,#N/A,,Michelle Hunter-Texas-2060
59,Scott Hall,DL,18,40,69,0.361,0.759,0.195,0.032,0.866,0.683,0.175,0.989,0.396,Maryland,,,Campus: Would prefer to attend a school with a larger student body population,,,,,,#N/A,,Scott Hall-Maryland-2060
60,Dane Keenan,OL,18,39,66,0.268,0.385,0.052,0.799,0.343,0.822,0.007,0.761,0.049,Texas,,,,,,,,,#N/A,,Dane Keenan-Texas-2060
61,Tom Tereshinski,OL,18,39,64,0.305,0.206,0.546,0.307,0.123,0.476,0.491,0.868,0.256,Washington D.C.,,,,,,,,,#N/A,,Tom Tereshinski-Washington D.C.-2060
62,Jermaine Harris,DL,18,40,67,0.195,0.895,0.616,0.383,0.288,0.560,0.972,0.207,0.765,Georgia,,USC,Education: Wants to go to law school,,,,,,#N/A,,Jermaine Harris-Georgia-2060
63,Winston Clark,OL,18,39,66,0.863,0.200,0.902,0.540,0.016,0.878,0.679,0.501,0.349,New Hampshire,,,Playing Time: Wants an important role on the offense/defense.,,,,,,#N/A,,Winston Clark-New Hampshire-2060
64,Aric Bryant,OL,18,39,68,0.665,0.274,0.256,0.411,0.959,0.145,0.055,0.065,0.407,Maryland,,,ProPotential: Has dreams of eventually becoming a first-round pick.,,,,,,#N/A,,Aric Bryant-Maryland-2060
65,Iñaki Incayal,WR,18,43,71,0.268,0.735,0.440,0.105,0.551,0.060,0.803,0.767,0.095,Argentina,,,,,,,,,#N/A,,Iñaki Incayal-Argentina-2060
66,Ajani Cowart,WR,18,43,67,0.688,0.562,0.292,0.194,0.803,0.633,0.759,0.743,0.500,Florida,Notre Dame,,,,,,,,#N/A,,Ajani Cowart-Florida-2060
67,Charles Love,WR,18,43,69,0.551,0.887,0.187,0.171,0.632,0.809,0.162,0.956,0.195,Florida,Brigham Young,,Campus: Wants to go to college in a smaller town,,,,,,#N/A,,Charles Love-Florida-2060
68,Ryan Duncan,DL,18,40,69,0.667,0.094,0.724,0.020,0.155,0.868,0.834,0.788,0.984,Arizona,,,Tradition: Wants to play on primetime TV,,,,,,#N/A,,Ryan Duncan-Arizona-2060
69,Kyle Mackey,LB,18,37,61,0.898,0.751,0.290,0.248,0.369,0.599,0.661,0.751,0.281,Illinois,,,,,,,,,#N/A,,Kyle Mackey-Illinois-2060
70,Bryan Zuñiga-García,LB,18,37,61,0.914,0.447,0.141,0.760,0.468,0.168,0.404,0.148,0.594,Honduras,,,"Location: Has family in North Carolina, and wants them to see one of his games.",,,,,,#N/A,,Bryan Zuñiga-García-Honduras-2060
71,Jeremy Parker,OL,18,39,66,0.405,0.735,0.838,0.160,0.085,0.182,0.097,0.299,0.374,Utah,,,,,,,,,#N/A,,Jeremy Parker-Utah-2060
72,Grant Smith,DL,18,40,67,0.069,0.236,0.678,0.633,0.798,0.664,0.216,0.209,0.077,Florida,,,,,,,,,#N/A,,Grant Smith-Florida-2060
73,Brandon Goddard,DL,18,40,69,0.189,0.896,0.337,0.373,0.704,0.404,0.419,0.626,0.727,Hawaii,Oregon State,,,,,,,,#N/A,,Brandon Goddard-Hawaii-2060
74,Ron Smith,WR,18,43,68,0.728,0.877,0.978,0.138,0.024,0.518,0.796,0.535,0.341,Florida,Minnesota,,Playing Time: Would prefer to play for a G5 school if it means being of greater significance to the team.,,,,,,#N/A,,Ron Smith-Florida-2060
75,Cliff Black,DL,18,40,67,0.966,0.557,0.171,0.134,0.309,0.984,0.418,0.936,0.390,Georgia,,,Prestige: Has ambitions of winning a national championship game,,,,,,#N/A,,Cliff Black-Georgia-2060
76,Josh Shead,DL,18,40,71,0.463,0.173,0.864,0.390,0.607,0.441,0.149,0.057,0.855,Alabama,,,,,,,,,#N/A,,Josh Shead-Alabama-2060
77,Matt Robinson,WR,18,43,70,0.007,0.510,0.711,0.577,0.547,0.001,0.994,0.158,0.264,Illinois,,,Education: Wants to study abroad in France,,,,,,#N/A,,Matt Robinson-Illinois-2060
78,Shelton Lindsay,LB,18,37,60,0.350,0.730,0.384,0.155,0.146,0.280,0.390,0.159,0.686,Florida,,,,,,,,,#N/A,,Shelton Lindsay-Florida-2060
79,Mitchell Bankhead,CB,18,45,68,0.076,0.279,0.849,0.667,0.649,0.128,0.930,0.795,0.788,Louisiana,,,Education: Wants to go to a public school,,,,,,#N/A,,Mitchell Bankhead-Louisiana-2060
80,Jamario Samuel,K,18,57,75,0.660,0.486,0.053,0.679,0.442,0.057,0.944,0.522,0.450,Massachusetts,,,Education: Wants to go to medical school,,,,,,#N/A,,Jamario Samuel-Massachusetts-2060
81,Blaster Laster,CB,18,45,68,0.055,0.325,0.760,0.790,0.166,0.844,0.774,0.579,0.554,Virginia,Virginia,,,,,,,,#N/A,,Blaster Laster-Virginia-2060
82,Shaun Hall,RB,18,40,62,0.960,0.700,0.235,0.475,0.527,0.594,0.076,0.817,0.559,Minnesota,,,"Location: Has family in New Jersey, and wants them to see one of his games.",,,,,,#N/A,,Shaun Hall-Minnesota-2060
83,Lawson Manley,LB,18,37,59,0.149,0.670,0.411,0.646,0.035,0.536,0.690,0.836,0.894,California,,,,,,,,,#N/A,,Lawson Manley-California-2060
84,Billy Gray,S,18,37,63,0.736,0.683,0.007,0.447,0.698,0.416,0.437,0.521,0.170,Arkansas,,,,,,,,,#N/A,,Billy Gray-Arkansas-2060
85,Shaquille Washington,S,18,37,62,0.566,0.964,0.354,0.311,0.294,0.973,0.439,0.944,0.750,Utah,,,Prestige: Wants to play for a team that's dominated their conference,,,,,,#N/A,,Shaquille Washington-Utah-2060
86,Sum Adderley,S,18,37,65,0.641,0.240,0.141,0.236,0.776,0.889,0.080,0.743,0.880,Pennsylvania,Delaware,,,,,,,,#N/A,,Sum Adderley-Pennsylvania-2060
87,Nick Brown,RB,18,40,66,0.483,0.887,0.495,0.356,0.269,0.974,0.624,0.767,0.165,Louisiana,,,Prestige: Would like to win as many bowl games as possible during his career,,,,,,#N/A,,Nick Brown-Louisiana-2060
88,Brett Galland,S,18,37,64,0.506,0.719,0.446,0.276,0.765,0.712,0.379,0.192,0.934,California,,,Tradition: Wants to hear about your school's unique traditions,,,,,,#N/A,,Brett Galland-California-2060
89,Archer Frost,DL,18,39,66,0.661,0.453,0.967,0.502,0.240,0.332,0.018,0.013,0.531,South Georgia and the South Sandwich Islands,,,Playing Time: Wants to see consistent playing time every season.,,,,,,#N/A,,Archer Frost-South Georgia and the South Sandwich Islands-2060
90,Jeremy Cullen,DL,18,39,68,0.519,0.679,0.219,0.517,0.904,0.861,0.208,0.361,0.499,West Virginia,,,ProPotential: Has dreams of eventually becoming a first-round pick.,,,,,,#N/A,,Jeremy Cullen-West Virginia-2060
91,Peter McGill,DL,18,39,68,0.004,0.895,0.786,0.729,0.696,0.455,0.868,0.610,0.130,Alabama,,,,,,,,,#N/A,,Peter McGill-Alabama-2060
92,Steven Barbe,S,18,37,62,0.111,0.539,0.556,0.864,0.746,0.652,0.195,0.763,0.695,"Quebec, Canada",,,,,,,,,#N/A,,"Steven Barbe-Quebec, Canada-2060"
93,Devin Davidson,DL,18,39,70,0.372,0.690,0.344,0.943,0.227,0.518,0.034,0.444,0.426,Louisiana,,,Coach: Wants to know what role his position plays in the coach's scheme.,,,,,,#N/A,,Devin Davidson-Louisiana-2060
94,Kenny Thomas,DL,18,39,69,0.625,0.070,0.142,0.448,0.761,0.649,0.530,0.351,0.749,California,,,,,,,,,#N/A,,Kenny Thomas-California-2060
95,Joe Myers,OL,18,38,66,0.258,0.776,0.882,0.475,0.580,0.889,0.452,0.357,0.461,Oregon,,,,,,,,,#N/A,,Joe Myers-Oregon-2060
96,Alex Ramsey,WR,18,42,68,0.172,0.934,0.805,0.719,0.727,0.992,0.414,0.173,0.998,Illinois,,,Tradition: Wants to play for a team with a long football history,,,,,,#N/A,,Alex Ramsey-Illinois-2060
97,Thomas Barr,WR,18,42,67,0.375,0.281,0.028,0.887,0.406,0.596,0.698,0.433,0.526,North Carolina,,,,,,,,,#N/A,,Thomas Barr-North Carolina-2060
98,Matt Rodgers,OL,18,38,65,0.002,0.415,0.669,0.735,0.560,0.346,0.273,0.077,0.941,North Carolina,,,Tradition: Wants to play for a team with a long football history,,,,,,#N/A,,Matt Rodgers-North Carolina-2060
99,Ben Etienne,LB,18,36,57,0.469,0.206,0.332,0.860,0.042,0.749,0.237,0.370,0.900,Washington D.C.,,,Tradition: Wants to play in front of lots of fans,,,,,,#N/A,,Ben Etienne-Washington D.C.-2060
100,Stanley Hosley,LB,18,36,59,0.424,0.493,0.424,0.011,0.710,0.854,0.421,0.087,0.021,North Carolina,,,,,,,,,#N/A,,Stanley Hosley-North Carolina-2060
101,Aaron Montes,DL,18,39,69,0.584,0.482,0.050,0.673,0.189,0.220,0.702,0.682,0.049,Oklahoma,,,,,,,,,#N/A,,Aaron Montes-Oklahoma-2060
102,Brandon White,CB,18,44,66,0.859,0.063,0.946,0.995,0.789,0.239,0.060,0.620,0.114,North Carolina,,,,,,,,,#N/A,,Brandon White-North Carolina-2060
103,Nick Faulkner,CB,18,44,68,0.904,0.960,0.334,0.775,0.503,0.928,0.217,0.374,0.447,Colorado,,,Winning: Wants to win a lot of conference games during his career,,,,,,#N/A,,Nick Faulkner-Colorado-2060
104,Cuban Bain,LB,18,36,57,0.066,0.459,0.693,0.729,0.975,0.893,0.877,0.229,0.412,Florida,Miami,,ProPotential: Has dreams of eventually becoming a first-round pick.,,,,,,#N/A,,Cuban Bain-Florida-2060
105,Mark Ross,RB,18,39,61,0.908,0.012,0.658,0.875,0.801,0.721,0.347,0.460,0.480,Kentucky,,,Location: Wants to play as close to his home state as possible.,,,,,,#N/A,,Mark Ross-Kentucky-2060
106,Jonathan Davis,QB,18,41,73,0.086,0.246,0.692,0.329,0.169,0.412,0.861,0.293,0.546,Florida,,,,,,,,,#N/A,,Jonathan Davis-Florida-2060
107,Cherry Lemon,WR,18,42,66,0.895,0.085,0.711,0.315,0.211,0.616,0.631,0.860,0.407,California,USC,,,,,,,,#N/A,,Cherry Lemon-California-2060
108,Daniel Sander,RB,18,39,64,0.085,0.840,0.344,0.543,0.005,0.514,0.102,0.290,0.994,Pennsylvania,,,,,,,,,#N/A,,Daniel Sander-Pennsylvania-2060
109,Jerry Ziegler,LB,18,36,59,0.619,0.365,0.016,0.359,0.168,0.009,0.392,0.799,0.404,New Jersey,,Florida,,,,,,,#N/A,,Jerry Ziegler-New Jersey-2060
110,Wrangler Rodriguez,LB,18,36,57,0.314,0.882,0.019,0.212,0.989,0.625,0.953,0.754,0.093,Texas,Texas Tech,,ProPotential: Has dreams of eventually becoming a first-round pick.,,,,,,#N/A,,Wrangler Rodriguez-Texas-2060
111,Kris Wolfley,LB,18,36,59,0.349,0.539,0.086,0.565,0.555,0.005,0.632,0.457,0.657,Pennsylvania,,,,,,,,,#N/A,,Kris Wolfley-Pennsylvania-2060
112,Dwayne Saunders,RB,18,39,62,0.695,0.246,0.712,0.981,0.345,0.053,0.951,1.000,0.927,Kansas,,,Campus: Would prefer to attend a school with a cold climate,,,,,,#N/A,,Dwayne Saunders-Kansas-2060
113,Teldrick Jenkins,S,18,36,62,0.987,0.862,0.457,0.086,0.583,0.093,0.231,0.367,0.508,Rhode Island,,,"Location: Has family in New Jersey, and wants them to see one of his games.",,,,,,#N/A,,Teldrick Jenkins-Rhode Island-2060
114,Chris Atkinson,S,18,36,61,0.798,0.051,0.053,0.904,0.134,0.752,0.968,0.574,0.192,Arizona,,,Education: Wants to study abroad in Italy,,,,,,#N/A,,Chris Atkinson-Arizona-2060
115,O.J. McCray,DL,18,38,67,0.705,0.443,0.347,0.398,0.584,0.843,0.605,0.378,0.757,Virginia,,,,,,,,,#N/A,,O.J. McCray-Virginia-2060
116,Ryan Swoopes,S,18,36,62,0.624,0.503,0.996,0.875,0.682,0.022,0.226,0.367,0.244,Wyoming,,,Playing Time: Wants to see consistent playing time every season.,,,,,,#N/A,,Ryan Swoopes-Wyoming-2060
117,Osa Preston,DL,18,38,65,0.061,0.121,0.993,0.452,0.897,0.802,0.762,0.372,0.664,Texas,,,Playing Time: Wants an important role on the offense/defense.,,,,,,#N/A,,Osa Preston-Texas-2060
118,Jackson Hidalgo,DL,18,38,68,0.768,0.762,0.693,0.294,0.314,0.341,0.614,0.380,0.451,Indiana,,,,,,,,,#N/A,,Jackson Hidalgo-Indiana-2060
119,James Pili,OL,18,37,62,0.909,0.810,0.873,0.123,0.311,0.386,0.636,0.343,0.331,Tennessee,Georgia Tech,,Location: Wants to play as many games in his home state as possible.,,,,,,#N/A,,James Pili-Tennessee-2060
120,Demon Emmanwori,S,18,36,60,0.422,0.257,0.927,0.312,0.237,0.280,0.477,0.469,0.767,South Carolina,South Carolina,,Playing Time: Wants to be the starter by his junior year at the latest.,,,,,,#N/A,,Demon Emmanwori-South Carolina-2060
121,Hubie Barry,S,18,36,63,0.723,0.760,0.491,0.205,0.329,0.787,0.564,0.910,0.428,Ohio,,,Campus: Wants to live in a major city,,,,,,#N/A,,Hubie Barry-Ohio-2060
122,Tommie Hunter,TE,18,33,55,0.617,0.948,0.818,0.282,0.561,0.312,0.996,0.513,0.110,Colorado,,,Education: Wants to study abroad in Greece,,,,,,#N/A,,Tommie Hunter-Colorado-2060
123,Brennon Bay,OL,18,37,63,0.129,0.521,0.244,0.550,0.187,0.095,0.017,0.496,0.502,Pennsylvania,,,,,,,,,#N/A,,Brennon Bay-Pennsylvania-2060
124,Lee Kleinschmidt,QB,18,40,72,0.124,0.484,0.354,0.689,0.048,0.240,0.104,0.654,0.279,Virginia,,,,,,,,,#N/A,,Lee Kleinschmidt-Virginia-2060
125,Tyler Mitchell,S,18,36,62,0.471,0.170,0.117,0.467,0.391,0.229,0.822,0.538,0.786,Georgia,,,,,,,,,#N/A,,Tyler Mitchell-Georgia-2060
126,Julion Wagner,DL,18,38,65,0.201,0.939,0.019,0.542,0.818,0.181,0.524,0.456,0.305,Florida,,Northwestern,,,,,,,#N/A,,Julion Wagner-Florida-2060
127,Jim Gettis,TE,18,33,54,0.581,0.602,0.543,0.550,0.344,0.499,0.146,0.687,0.005,Utah,,Rutgers,,,,,,,#N/A,,Jim Gettis-Utah-2060
128,Daniel Gallegos,TE,18,33,58,0.580,1.000,0.817,0.869,0.071,0.068,0.057,0.470,0.505,Texas,,,Winning: Doesn't want to experience a losing season during his career.,,,,,,#N/A,,Daniel Gallegos-Texas-2060
129,Jeffery Grant,OL,18,37,64,0.642,0.921,0.403,0.234,0.830,0.755,0.767,0.521,0.486,Virginia,,,,,,,,,#N/A,,Jeffery Grant-Virginia-2060
130,Malik Dean,WR,18,41,64,0.789,0.012,0.446,0.808,0.560,0.651,0.312,0.192,0.975,Ohio,,,Tradition: Wants to hear about your school's past star players,,,,,,#N/A,,Malik Dean-Ohio-2060
131,Josh McQuillan,WR,18,41,64,0.115,0.327,0.743,0.548,0.058,0.006,0.640,0.168,0.028,New Mexico,,,,,,,,,#N/A,,Josh McQuillan-New Mexico-2060
132,Stephen Cimino,OL,18,37,65,0.533,0.829,0.934,0.836,0.090,0.119,0.045,0.160,0.860,Minnesota,,Michigan State,Playing Time: Wants to see consistent playing time every season.,,,,,,#N/A,,Stephen Cimino-Minnesota-2060
133,Drew Turner,WR,18,41,65,0.217,0.888,0.566,0.751,0.915,0.933,0.262,0.067,0.813,Florida,,,Prestige: Wants to play for a team that's dominated their conference,,,,,,#N/A,,Drew Turner-Florida-2060
134,Jon Thomas,CB,18,43,66,0.712,0.007,0.689,0.601,0.725,0.918,0.586,0.013,0.466,California,,,Prestige: Wants to win a conference championship,,,,,,#N/A,,Jon Thomas-California-2060
135,John Riley,LB,18,35,56,0.878,0.507,0.071,0.431,0.196,0.093,0.998,0.177,0.727,Texas,,,Education: Wants to go to law school,,,,,,#N/A,,John Riley-Texas-2060
